Loại cây trồng,Điều kiện thời tiết,Hành động khuyến nghị,Mô tả chi tiết
Rau màu,Gió mạnh,Phun thuốc phòng bệnh,Giúp cây tránh đạo ôn
Rau màu,Nhiệt độ thấp < 15°C,Che chắn bằng lưới,Giảm nguy cơ sốc nhiệt
Thanh long,Gió mạnh,Tỉa thưa cây con,Giúp cây tránh vàng lá
Dưa leo,Nắng gắt,Bắt sâu thủ công,Hạn chế ảnh hưởng của bạc lá
Rau màu,Trời lạnh buổi sáng,Tăng cường thoát nước,Tăng khả năng chống chịu với vàng lá
Bắp cải,Độ ẩm không khí cao,Tưới nhỏ giọt,Tăng khả năng chống chịu với suy kiệt
Cà chua,Nhiệt độ dao động mạnh trong ngày,Tăng cường thoát nước,Giảm nguy cơ héo rũ
Lúa,Mưa rào nhẹ,Trì hoãn gieo trồng,Giảm nguy cơ nảy mầm kém
Sắn,Trời lạnh buổi sáng,Bón phân hữu cơ,Bảo vệ cây khỏi bạc lá
Ớt,Trời âm u,Tưới nước định kỳ,Bảo vệ cây khỏi nấm bệnh
Dưa leo,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi nấm bệnh
Ớt,Nắng gắt,Che phủ rơm/gỗ mục,Giảm nguy cơ sốc nhiệt
Bắp cải,Gió mạnh,Tăng cường thoát nước,Hạn chế ảnh hưởng của bạc lá
Ngô,Có áp thấp nhiệt đới,Bắt sâu thủ công,Bảo vệ cây khỏi thiếu nước
Bắp cải,Nhiều ngày nắng,Tỉa thưa cây con,Tăng khả năng chống chịu với thiếu nước
Sắn,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Giúp cây tránh bạc lá
Thanh long,Sương mù dày,Tăng cường thoát nước,Bảo vệ cây khỏi đạo ôn
Thanh long,Độ ẩm không khí cao,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của cháy lá
Đậu phụng,Độ ẩm thấp,Bón vôi cải tạo đất,Giảm nguy cơ thiếu nước
Sắn,Gió mạnh,Tưới nhỏ giọt,Tăng khả năng chống chịu với thối rễ
Bắp cải,Nhiệt độ thấp < 15°C,Che chắn bằng lưới,Tăng khả năng chống chịu với đạo ôn
Ớt,Nắng nhẹ sau mưa,Dừng bón phân đạm,Giảm nguy cơ bạc lá
Bắp cải,Độ ẩm thấp,Tưới nhỏ giọt,Giảm nguy cơ nảy mầm kém
Xoài,Nhiệt độ thấp < 15°C,Tưới nước định kỳ,Hạn chế ảnh hưởng của vàng lá
Ớt,Nắng gắt,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi héo rũ
Thanh long,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với cháy lá
Thanh long,Độ ẩm thấp,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh sâu xanh
Dưa hấu,Nhiều ngày nắng,Tưới nhỏ giọt,Tăng khả năng chống chịu với rụng hoa
Rau màu,Trời âm u,Tăng cường thoát nước,Tăng khả năng chống chịu với bạc lá
Cà chua,Sương mù dày,Bón vôi cải tạo đất,Giúp cây tránh rụng hoa
Cải bẹ,Gió mạnh,Bón vôi cải tạo đất,Tăng khả năng chống chịu với nấm bệnh
Xoài,Nhiều ngày nắng,Che chắn bằng lưới,Giảm nguy cơ thối rễ
Bắp cải,Nhiệt độ thấp < 15°C,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với sâu xanh
Mía,Gió mạnh,Bón vôi cải tạo đất,Tăng khả năng chống chịu với sốc nhiệt
Sắn,Nhiệt độ dao động mạnh trong ngày,Bắt sâu thủ công,Giảm nguy cơ bạc lá
Bắp cải,Gió mạnh,Bón vôi cải tạo đất,Bảo vệ cây khỏi sốc nhiệt
Lúa,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Giúp cây tránh ngập úng
Dưa hấu,Nhiệt độ cao > 35°C,Tỉa thưa cây con,Tăng khả năng chống chịu với thối rễ
Dưa leo,Có áp thấp nhiệt đới,Dừng bón phân đạm,Bảo vệ cây khỏi thối rễ
Sắn,Gió mạnh,Bón vôi cải tạo đất,Bảo vệ cây khỏi thiếu nước
Ớt,Mưa lớn,Phun thuốc phòng bệnh,Bảo vệ cây khỏi thiếu nước
Lúa,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Giảm nguy cơ rụng hoa
Xoài,Trời lạnh buổi sáng,Tỉa thưa cây con,Giảm nguy cơ đạo ôn
Ớt,Độ ẩm không khí cao,Bón phân hữu cơ,Giúp cây tránh sốc nhiệt
Đậu phụng,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của nảy mầm kém
Ngô,Trời nhiều mây,Bón vôi cải tạo đất,Bảo vệ cây khỏi vàng lá
Ớt,Trời âm u,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với sốc nhiệt
Chuối,Nhiều ngày nắng,Bón phân hữu cơ,Bảo vệ cây khỏi ngập úng
Dưa leo,Trời lạnh buổi sáng,Phun chế phẩm sinh học,Bảo vệ cây khỏi suy kiệt
Cải bẹ,Nhiệt độ dao động mạnh trong ngày,Dừng bón phân đạm,Tăng khả năng chống chịu với cháy lá
Sắn,Nhiều ngày nắng,Che chắn bằng lưới,Hạn chế ảnh hưởng của cháy lá
Cải bẹ,Sương mù dày,Tỉa thưa cây con,Giảm nguy cơ sâu xanh
Mía,Gió mạnh,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của cháy lá
Thanh long,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với thiếu nước
Dưa hấu,Mưa rào nhẹ,Theo dõi sát thời tiết,Giảm nguy cơ nấm bệnh
