Date,AverTemp(°C),Precipitation(mm),AverHumidity(%),WindSpeed(m/s),SunDuration(giờ),AtmosPressure(hPa),WeatherCondition
2015-01-01,21.46,1.85,75.76,4.74,0.12075,101.31,Bình thường
2015-01-02,22.33,2.23,79.54,4.32,0.12075,101.22,Bình thường
2015-01-03,22.17,4.12,83.38,3.85,0.0485,101.09,Bình thường
2015-01-04,22.63,0.98,83.46,2.39,0.1036666666666666,100.75,Bình thường
2015-01-05,23.32,0.98,89.54,2.39,0.1459166666666666,100.57,Bình thường
2015-01-06,23.78,0.07,91.39,1.98,0.147,100.58,Độ ẩm cao
2015-01-07,23.69,0.79,87.95,3.08,0.0664166666666666,100.85,Bình thường
2015-01-08,22.99,1.97,87.57,5.13,0.0411666666666666,101.12,Bình thường
2015-01-09,22.31,1.83,85.46,4.99,0.0705833333333333,101.16,Bình thường
2015-01-10,22.47,2.93,85.94,4.57,0.0487499999999999,101.07,Bình thường
2015-01-11,22.24,1.29,84.63,3.33,0.0487499999999999,101.04,Bình thường
2015-01-12,21.19,0.95,86.73,5.05,0.087,101.09,Bình thường
2015-01-13,20.19,0.36,80.71,5.32,0.0705,101.26,Bình thường
2015-01-14,19.86,0.17,74.42,3.96,0.0705,101.37,Bình thường
2015-01-15,19.13,0.07,74.42,3.55,0.0904166666666666,101.37,Bình thường
2015-01-16,19.98,2.11,77.72,4.0,0.074,101.27,Bình thường
2015-01-17,21.29,3.45,80.94,4.0,0.0545,101.27,Bình thường
2015-01-18,21.29,4.79,80.59,4.45,0.078,101.23,Bình thường
2015-01-19,20.83,0.85,76.16,4.01,0.0873333333333333,101.26,Bình thường
2015-01-20,20.59,0.85,76.72,3.04,0.1436666666666666,101.26,Bình thường
2015-01-21,20.79,0.1,83.4,3.21,0.15275,101.39,Bình thường
2015-01-22,20.6,0.0,81.46,3.04,0.1435833333333333,101.39,Bình thường
2015-01-23,20.76,0.0,72.8,2.24,0.1629166666666666,101.39,Bình thường
2015-01-24,20.8,0.0,75.99,2.28,0.1673333333333333,100.98,Bình thường
2015-01-25,21.19,0.0,78.09,2.23,0.1689166666666666,101.0,Bình thường
2015-01-26,21.49,0.0,80.15,1.72,0.1707499999999999,100.97,Bình thường
2015-01-27,21.49,0.0,80.15,1.84,0.1735833333333333,100.87,Bình thường
2015-01-28,21.63,0.0,80.77,2.06,0.1735833333333333,100.84,Bình thường
2015-01-29,21.63,0.0,82.31,2.11,0.17125,100.96,Bình thường
2015-01-30,21.63,0.0,82.03,2.27,0.1485833333333333,100.96,Bình thường
2015-01-31,21.63,0.31,81.45,3.46,0.1055,101.32,Bình thường
2015-02-01,22.15,1.28,86.02,4.26,0.0740833333333333,101.3,Bình thường
2015-02-02,22.15,1.11,88.34,4.26,0.1065833333333333,101.34,Bình thường
2015-02-03,22.15,0.41,88.34,3.49,0.1155833333333333,101.43,Bình thường
2015-02-04,21.62,0.27,78.66,3.38,0.10925,101.35,Bình thường
2015-02-05,21.34,0.93,78.66,3.43,0.1138333333333333,101.37,Bình thường
2015-02-06,21.12,0.93,80.17,3.76,0.0939166666666666,101.37,Bình thường
2015-02-07,21.02,0.93,78.74,2.63,0.1174166666666666,101.2,Bình thường
2015-02-08,21.17,2.14,80.96,3.4,0.1154999999999999,101.2,Bình thường
2015-02-09,20.78,1.97,80.96,3.66,0.1018333333333333,101.37,Bình thường
2015-02-10,20.44,0.58,78.5,2.79,0.1114166666666666,101.17,Bình thường
2015-02-11,20.88,0.0,76.2,1.28,0.1745,100.98,Bình thường
2015-02-12,21.33,0.01,78.13,1.94,0.14975,101.0,Bình thường
2015-02-13,21.59,0.01,78.23,2.17,0.14975,100.88,Bình thường
2015-02-14,21.7,0.01,82.62,2.17,0.1688333333333333,100.88,Bình thường
2015-02-15,22.03,0.01,84.53,2.34,0.1518333333333333,100.75,Bình thường
2015-02-16,22.24,0.04,79.57,1.71,0.14825,100.88,Bình thường
2015-02-17,22.6,0.19,78.23,1.5,0.1440833333333333,100.8,Bình thường
2015-02-18,23.18,0.89,88.33,1.88,0.1106666666666666,100.81,Bình thường
2015-02-19,23.14,0.32,88.33,2.05,0.0969166666666666,100.91,Bình thường
2015-02-20,23.33,0.32,85.77,1.68,0.1385,100.82,Bình thường
2015-02-21,23.33,0.36,88.95,2.75,0.1604166666666666,100.66,Bình thường
2015-02-22,23.33,0.12,89.1,2.96,0.1376666666666666,100.7,Bình thường
2015-02-23,24.39,0.35,89.1,3.03,0.1809166666666666,100.65,Bình thường
2015-02-24,24.55,0.04,87.85,3.45,0.1835,100.53,Bình thường
2015-02-25,24.38,0.01,86.75,3.84,0.1705,100.47,Bình thường
2015-02-26,24.35,0.01,86.26,3.91,0.1761666666666666,100.46,Bình thường
2015-02-27,24.32,0.0,86.99,3.91,0.1858333333333333,100.55,Bình thường
2015-02-28,24.42,0.0,86.81,3.3,0.18975,100.67,Bình thường
2015-03-01,24.27,0.02,87.06,2.26,0.18975,100.9,Bình thường
2015-03-02,23.82,0.01,86.74,2.88,0.1816666666666666,100.71,Bình thường
2015-03-03,24.97,0.01,83.23,3.69,0.1793333333333333,100.33,Bình thường
2015-03-04,24.8,0.0,86.11,3.37,0.1198333333333333,100.49,Bình thường
2015-03-05,24.8,0.0,83.4,4.35,0.1198333333333333,100.62,Bình thường
2015-03-06,24.62,0.0,85.99,4.24,0.184,100.61,Bình thường
